basis,seed,group,row,stratum,energy,sse
identity,0,16,12034,0,0.45139257055853932,0.0021935349439559104
identity,0,32,12094,0,0.376439162826955,0.0028346651765787101
identity,0,16,12094,0,0.376439162826955,0.0019207415084565582
identity,0,32,12155,0,0.29755618363569969,0.0019938291953645049
identity,0,16,12155,0,0.29755618363569969,0.0015070488444530739
identity,0,32,12215,0,0.38071530205911791,0.0025787181059533787
identity,0,16,12215,0,0.38071530205911791,0.0018878184803290817
identity,0,32,12276,0,0.21673669736762591,0.0013106493038073097
identity,0,16,12276,0,0.21673669736762591,0.0010029754607536745
identity,0,32,12337,0,0.35666075953586529,0.0025590696542201474
identity,0,16,12337,0,0.35666075953586529,0.0019590160201039541
identity,0,32,12397,0,0.39601559893166721,0.0025517298181921277
identity,0,16,12397,0,0.39601559893166721,0.0019597550763546523
identity,0,32,12458,0,0.32634157760294613,0.0020472451444248918
identity,0,16,12458,0,0.32634157760294613,0.0014465013493492052
identity,0,32,12519,0,0.51462040231956507,0.003223231237939217
identity,0,16,12519,0,0.51462040231956507,0.002502542273873587
identity,0,32,12579,0,0.36168285382746035,0.002443196079639165
identity,0,16,12579,0,0.36168285382746035,0.0019130362620671804
identity,0,32,12640,0,0.47517144964405134,0.0033160068185793534
identity,0,16,12640,0,0.47517144964405134,0.0023540477148458194
identity,0,32,12700,0,0.43161892436083704,0.0029127346705628554
identity,0,16,12700,0,0.43161892436083704,0.0021800995918148658
identity,0,32,12761,0,0.3174578329869322,0.0022350283013141681
identity,0,16,12761,0,0.3174578329869322,0.001566559950973323
identity,0,32,12822,0,0.35858116283202635,0.0022630322230290378
identity,0,16,12822,0,0.35858116283202635,0.0018077609668145644
identity,0,32,12882,0,0.48359838363515806,0.0032817439610290933
identity,0,16,12882,0,0.48359838363515806,0.0024959238403745587
identity,0,32,12943,0,0.29674709632610075,0.0019262236303916325
identity,0,16,12943,0,0.29674709632610075,0.0014080015019430903
identity,0,32,13004,0,0.40807041798671428,0.0025415210764594409
identity,0,16,13004,0,0.40807041798671428,0.001930965819888053
identity,0,32,13064,0,0.38454006750876601,0.0024190809814683689
identity,0,16,13064,0,0.38454006750876601,0.0018022264809189892
identity,0,32,13125,0,0.34862572702900252,0.0023205612289984856
identity,0,16,13125,0,0.34862572702900252,0.0018078304440223292
identity,0,32,13185,0,0.42490692043224954,0.0029502675113235455
identity,0,16,13185,0,0.42490692043224954,0.0023344657072357222
identity,0,32,13246,0,0.37288878934920811,0.0023859944165176561
identity,0,16,13246,0,0.37288878934920811,0.0017479870773693396
identity,0,32,13307,0,0.39823617359582941,0.002610993423910371
